Rec #	Sample ID	Mineral	%SiO2	%TiO2	%Al2O3	%Cr2O3	%Fe2O3	%FeO	%MnO	%MgO	%CaO	%Na2O	%K2O	%P2O5	%LOI	Cu(ppm)	Ni(ppm)	Co(ppm)	Zn(ppm)	V(ppm)	Source	Text
94	LS-JBA-141 (-145)   	BULK	45.50	1.10	11.10	0.52	0.00	20.50	0.00	10.20	11.00	0.28	0.03	0.00	0.00	0.00	0.00	0.00	0.00	0.00	                                                                        	Luna 24 Soils average composition                                       
95	LS-JBA-150          	BULK	45.00	0.29	28.20	0.07	0.00	4.28	0.06	5.51	15.90	0.43	0.10	0.80	0.00	6.00	330.00	28.00	7.55	0.00	"RM Fruland, Regolith Breccia Workbook, NASA 1983                        "	Apollo 16 Regolith Breccia 60016                                        
96	LS-JBA-161          	BULK	45.35	0.60	26.75	0.00	0.00	5.49	0.07	6.27	15.46	0.38	0.11	0.13	0.00	0.00	0.00	31.40	0.00	0.00	"RV Morris, Handbook of Lunar Soils, 1983                                "	Apollo 16 Soil 60601                                                    
97	LS-JBA-152          	BULK	45.20	0.58	26.40	0.13	0.00	5.29	0.70	6.10	15.32	0.52	0.14	0.12	0.00	0.00	310.00	0.00	0.00	20.00	"RV Morris, Handbook of Lunar Soils, 1983                                "	Apollo 16 Soil 61141                                                    
98	LS-JBA-153          	BULK	44.71	0.58	26.26	0.98	0.00	5.25	0.65	6.35	16.23	0.43	0.10	0.00	0.00	0.00	305.00	22.20	0.00	0.00	"RV Morris, Handbook of Lunar Soils, 1983                                "	Apollo 16 Soil 61161                                                    
99	LS-JBA-154          	BULK	45.35	0.49	28.25	0.00	0.00	4.55	0.06	5.02	16.21	0.42	0.09	0.10	0.00	0.00	0.00	17.00	0.00	0.00	"RV Morris, Handbook of Lunar Soils, 1983                                "	Apollo 16 Soil 61221                                                    
100	LS-JBA-155          	BULK	45.32	0.57	27.15	0.00	0.00	5.33	0.07	5.75	15.69	0.55	0.10	0.13	0.00	0.00	0.00	22.80	0.00	18.00	"RV Morris, Handbook of Lunar Soils, 1983                                "	Apollo 16 Soil 61241                                                    
101	LS-JBA-156          	BULK	44.65	0.54	27.12	0.00	0.00	5.07	0.60	0.00	16.00	0.45	0.13	0.00	0.00	0.00	440.00	26.00	0.00	27.00	"RV Morris et al, Handbook of Lunar Soils, 1983                          "	Apollo 16 Soil 61281                                                    
102	LS-JBA-157          	BULK	44.66	0.56	26.50	0.00	0.00	5.31	0.07	6.08	15.33	0.41	0.11	0.11	0.00	0.00	0.00	35.00	0.00	0.00	"RV Morris et al, Handbook of Lunar Soils, 1983                          "	Apollo 16 Soil 61501                                                    
103	LS-JBA-158          	BULK	0.00	0.00	26.50	0.00	0.00	5.60	0.00	6.40	14.50	0.44	0.00	0.00	0.00	0.00	485.00	35.50	0.00	22.00	"RV Morris et al, Handbook of Lunar Soils, 1983                          "	Apollo 16 Soil 62231                                                    
104	LS-JBA-159          	BULK	0.00	0.35	28.93	0.94	0.00	4.67	0.68	6.96	15.67	0.57	0.77	0.00	0.00	0.00	0.00	19.80	0.00	15.00	"RV Morris et al, Handbook of Lunar Soils, 1983                          "	Apollo 16 Soil 63321                                                    
105	LS-JBA-160          	BULK	0.00	0.60	29.00	0.95	0.00	4.53	0.67	7.30	12.45	0.56	0.15	0.00	0.00	0.00	0.00	0.00	0.00	0.00	"RV Morris et al, Handbook of Lunar Soils, 1983                          "	Apollo 16 Soil 63341                                                    
106	LS-JBA-161          	BULK	45.02	0.53	27.72	0.00	0.00	4.72	0.70	5.25	15.87	0.46	0.90	0.10	0.00	0.00	0.00	6.19	0.00	0.00	"RV Morris et al, Handbook of Lunar Soils, 1983                          "	Apollo 16 Soil 63501                                                    
107	LS-JBA-162          	BULK	44.88	0.55	27.60	0.00	0.00	5.03	0.06	5.35	15.81	0.39	0.10	0.13	0.00	0.00	0.00	25.00	0.00	0.00	"RV Morris et al, Handbook of Lunar Soils, 1983                          "	Apollo 16 Soil 64421                                                    
108	LS-JBA-163          	BULK	0.00	0.53	27.40	0.00	0.00	4.16	0.00	4.27	16.60	0.47	0.11	0.00	0.00	0.00	290.00	21.00	0.00	0.00	"RV Morris et al, Handbook of Lunar Soils, 1983                          "	Apollo 16 Soil 64501                                                    
109	LS-JBA-164          	BULK	44.90	0.47	27.70	0.11	0.00	5.01	0.00	5.69	15.70	0.51	0.22	0.16	0.00	0.00	0.00	27.00	0.00	28.00	"RV Morris et al, Handbook of Lunar Soils, 1983                          "	Apollo 16 Soil 64801                                                    
110	LS-JBA-166          	BULK	45.50	0.70	26.07	0.00	0.00	5.96	0.79	6.28	14.97	0.44	0.15	0.16	0.00	0.00	290.00	0.00	0.00	0.00	"RV Morris et al, Handbook of Lunar Soils, 1983                          "	Apollo 16 Soil #65501                                                   
111	LS-JBA-167          	BULK	45.03	0.64	26.47	0.00	0.00	5.87	0.08	6.02	15.29	0.41	0.12	0.13	0.00	0.00	510.00	31.70	0.00	0.00	"RV Morris et al, Handbook of Lunar Soils, 1983                          "	Apollo 16 Soil #65701                                                   
112	LS-JBA-168          	BULK	45.07	0.64	26.39	0.00	0.00	6.08	0.08	6.14	15.29	0.38	0.12	0.15	0.00	0.00	330.00	21.00	0.00	22.00	"RV Morris et al, Handbook of Lunar Soils, 1983                          "	Apollo 16 Soil #66041                                                   
113	LS-JBA-169          	BULK	45.38	0.67	26.22	0.00	0.00	5.85	0.08	6.39	15.28	0.39	0.13	0.13	0.00	0.00	348.00	21.00	0.00	19.00	"RV Morris et al, Handbook of Lunar Soils, 1983                          "	Apollo 16 Soil #66081                                                   
114	LS-JBA-170          	BULK	44.50	0.34	29.60	0.07	0.00	3.70	0.05	4.10	16.40	0.52	0.05	0.03	0.00	2.00	80.00	10.00	6.00	0.00	"G Ryder & MD Norman, Catalog of Apollo 16 Rocks, 1980                   "	Apollo 16 Breccia #67016                                                
115	LS-JBA-171          	BULK	44.80	0.25	31.10	0.07	0.00	4.00	0.05	3.00	17.80	0.37	0.02	0.02	0.00	1.90	26.00	8.00	7.50	0.00	"G Ryder & MD Norman, Cataolog of Apollo 16 Rocks, 1980                  "	Apollo 16 Breccia #67455                                                
116	LS-JBA-172          	BULK	44.77	0.37	28.99	0.00	0.00	4.35	0.07	4.20	16.85	0.44	0.06	0.05	0.00	0.00	0.00	13.00	0.00	17.00	"RV Morris et al, Handbook of Lunar Soils, 1983                          "	Apollo 16 Soil #67461                                                   
117	LS-JBA-173          	BULK	44.95	0.41	29.01	0.00	0.00	4.66	0.06	4.20	16.54	0.42	0.06	0.13	0.00	0.00	0.00	14.90	0.00	14.00	"RV Morris et al, Handbook of Lunar Soils, 1983                          "	Apollo 16 Soil #67481                                                   
118	LS-JBA-174          	BULK	45.28	0.42	28.93	0.00	0.00	4.09	0.06	4.75	16.40	0.44	0.07	0.06	0.00	0.00	180.00	14.40	0.00	0.00	"RV Morris et al, Handbook of Lunar Soils, 1983                          "	Apollo 16 Soil #67601                                                   
119	LS-JBA-175          	BULK	44.77	0.44	28.48	0.00	0.00	4.17	0.06	4.92	16.87	0.52	0.07	0.08	0.00	0.00	0.00	14.90	0.00	27.00	"RV Morris et al, Handbook of Lunar Soils, 1983                          "	Apollo 16 Soil #67701                                                   
120	LS-JBA-176          	BULK	44.20	0.26	29.40	0.00	0.00	2.96	0.60	3.86	16.30	0.73	0.11	0.00	0.00	0.00	0.00	15.50	0.00	0.00	"RV Morris et al, Handbook of Lunar Soils, 1983                          "	Apollo 16 Soil #67711                                                   
121	LS-JBA-177          	BULK	45.75	0.54	26.18	0.09	0.00	4.73	0.06	6.48	15.56	0.53	0.14	0.10	0.00	0.00	0.00	16.30	0.00	0.00	"RV Morris et al, Handbook of Lunar Soils, 1983                          "	Apollo 16 Soil #67941                                                   
122	LS-JBA-122          	BULK	45.18	0.58	26.65	0.00	0.00	5.48	0.07	6.28	15.35	0.47	0.11	0.12	0.00	0.00	560.00	34.70	0.00	0.00	"RV Morris et al, Handbook of Lunar Soils, 1983                          "	Apollo 16 Soil #68501                                                   
123	LS-JBA-179          	BULK	46.00	0.49	27.00	0.10	0.00	5.00	0.06	5.90	15.40	0.48	0.20	0.18	0.00	7.80	300.00	40.00	2.45	0.00	"G Ryder & MD Norman, Catalog of Apollo 16 Rocks, NASA 1980              "	Apollo 16 Breccia #68815                                                
124	LS-JBA-180          	BULK	45.08	0.59	26.49	0.00	0.00	5.65	0.07	6.27	15.30	0.41	0.11	0.12	0.00	0.00	680.00	34.00	0.00	14.00	"RV Morris et al, Hnadbook of Lunar Soils, 1983                          "	Apollo 16 Soil #68841                                                   
125	LS-JBA-181          	BULK	45.20	0.59	26.20	0.14	0.00	5.54	0.07	6.35	15.35	0.53	0.14	0.12	0.00	0.00	348.00	21.00	0.00	19.00	"RV Morris et al, Handbook of Lunar Soils, 1983                          "	Apollo 16 Soil #69921                                                   
126	LS-JBA-182          	BULK	44.67	0.63	26.30	0.13	0.00	5.76	0.07	6.35	15.57	0.42	0.14	0.12	0.00	0.00	470.00	32.10	0.00	0.00	"RV Morris et al, Handbook of Lunar Soils, 1983                          "	Apollo 16 Soil #69941                                                   
127	LS-JBA-183          	BULK	44.76	0.60	26.35	0.13	0.00	5.76	0.07	6.33	15.55	0.41	0.14	0.12	0.00	0.00	600.00	47.00	0.00	29.00	"RV Morris et al, Handbook of Lunar Soils, 1983                          "	Apollo 16 Soil #69961                                                   
128	LS-JBA-200          	BULK	38.54	12.99	8.65	0.50	0.00	18.25	0.25	9.98	10.28	0.39	0.05	0.05	0.00	28.00	3.00	32.00	2.00	146.00	"EW Wolfe, et al, Geol Invest T-L Valley, USGS 1981                      "	Apollo 17 Basalt #70017                                                 
129	LS-JBA-202          	BULK	40.87	8.11	12.30	0.44	0.00	16.37	0.24	9.82	11.05	0.35	0.08	0.06	0.00	0.00	191.00	0.00	0.00	0.00	"RV Morris et al, Handbook of Lunar Soils, 1983                          "	Apollo 17 Soil #70181                                                   
130	LS-JBA-203          	BULK	39.74	9.57	10.80	0.47	0.00	17.73	0.24	9.72	10.72	0.35	0.08	0.07	0.00	0.00	117.00	0.00	0.00	0.00	"RV Morris et al, Handbook of Lunar Soils, 1983                          "	Apollo 17 Soil #71041                                                   
131	LS-JBA-204          	BULK	38.14	13.41	8.62	0.41	0.00	19.20	0.26	9.04	10.77	0.31	0.06	0.08	0.00	31.00	43.00	26.00	4.00	88.00	"Lofgren & Lofgren, Catalog of Lunar Mare..., NASA 1981                  "	Apollo 17 Mare Basalt #71055                                            
132	LS-JBA-205          	BULK	40.09	9.32	10.70	0.49	0.00	17.85	0.24	9.92	10.59	0.36	0.08	0.07	0.00	0.00	50.00	26.30	0.00	0.00	"RV Morris et al, Handbook of Lunar Soils, 1983                          "	Apollo 17 Soil #71061                                                   
133	LS-JBA-213          	BULK	44.91	1.56	20.57	0.00	0.00	8.65	0.13	9.84	12.82	0.47	0.16	0.15	0.00	0.00	250.00	30.00	0.00	50.00	"RV Morris,et al, Handbook of Lunar Soils                                "	Apollo 17 Soil #72321                                                   
134	LS-JBA-241          	BULK	41.67	6.52	13.57	0.42	0.00	15.37	0.21	10.22	11.18	0.34	0.09	0.06	0.00	0.00	0.00	0.00	0.00	0.00	"RV Morris et al, Handbook of Lunar Soils, 1983                          "	Apollo 17 Soil #79221                                                   
135	LS-JBA-208          	BULK	39.82	9.52	11.13	0.46	0.00	17.41	0.25	9.51	10.85	0.32	0.07	0.06	0.00	0.00	90.00	33.10	0.00	0.00	"RV Morris et al, Handbook of Lunar Soils, 1983                          "	Apollo 17 Soil #71501                                                   
136	LS-JBA-242          	BULK	41.69	6.13	13.79	0.43	0.00	15.11	0.27	10.31	10.73	0.27	0.18	0.06	0.00	0.00	170.00	37.00	0.00	85.00	"RV Morris et al, Handbook of Lunar Soils, 1983                          "	Apollo 17 Soil #79511                                                   
137	LS-JBA-210          	BULK	43.11	4.37	16.10	0.37	0.00	13.45	0.19	10.25	11.83	0.40	0.12	0.10	0.00	0.00	271.00	0.00	0.00	0.00	"RV Morris et al, Handbook of Lunar Soils, 1983                          "	Apollo 17 Soil #72141                                                   
138	LS-JBA-211          	BULK	42.12	5.21	14.22	0.42	0.00	14.86	0.22	10.54	11.17	0.41	0.11	0.08	0.00	0.00	273.00	0.00	0.00	0.00	"RV Morris et al, Handbook of Lunar Soils, 1983                          "	Apollo 17 Soil #72161                                                   
139	LS-JBA-214          	BULK	45.03	1.55	20.51	0.22	0.00	8.85	0.13	9.89	12.83	0.46	0.17	0.17	0.00	0.00	270.00	30.00	0.00	50.00	"RV Morris et al, Handbook of Lunar Soils, 1983                          "	Apollo 17 Soil #72441                                                   
140	LS-JBA-215          	BULK	44.48	1.50	20.87	0.21	0.00	8.58	0.12	9.69	12.97	0.47	0.17	0.16	0.00	0.00	230.00	30.00	0.00	50.00	"RV Morris et al, Handbook of Lunar Soils, 1983                          "	Apollo 17 Soil #72461                                                   
141	LS-JBA-216          	BULK	45.12	1.56	20.64	0.23	0.00	8.77	0.11	10.08	12.86	0.40	0.16	0.13	0.00	0.00	250.00	31.00	0.00	45.00	"Morris, et al, Handbook of Lunar Soils, 1983                            "	Apollo 17 Soil #72500                                                   
142	LS-JBA-217          	BULK	44.87	1.52	20.60	0.23	0.00	8.65	0.12	9.97	12.80	0.40	0.16	0.15	0.00	0.00	280.50	0.00	0.00	0.00	"RV Morris, et al, Handbook of Lunar Soils, 1983                         "	Apollo 17 Soil #72701                                                   
143	LS-JBA-218          	BULK	45.56	1.39	21.23	0.26	0.00	8.45	0.11	9.73	12.82	0.39	0.17	0.15	0.00	0.00	280.00	31.00	0.00	50.00	"RV Morris, et al, Handbook of Lunar Soils, 1983                         "	Apollo 17 Soil #73121                                                   
144	LS-JBA-219          	BULK	45.35	1.26	21.56	0.24	0.00	8.02	0.11	10.28	12.91	0.38	0.14	0.12	0.00	0.00	240.00	30.00	0.00	45.00	"RV Morris, et al, Handbook of Lunar Soils, 1983                         "	Apollo 17 Soil #73141                                                   
