Rec #	Sample ID	Mineral	%SiO2	%TiO2	%Al2O3	%Cr2O3	%Fe2O3	%FeO	%MnO	%MgO	%CaO	%Na2O	%K2O	%P2O5	%LOI	Cu(ppm)	Ni(ppm)	Co(ppm)	Zn(ppm)	V(ppm)	Source	Text
361	LS-CMP-056          	BULK	40.27	9.41	11.31	0.46	0.00	17.20	0.25	9.59	10.97	0.33	0.08	0.07	0.00	0.00	100.00	27.00	0.00	100.00	"Morris et al., 1983. Handbook of Lunar Soils, Part 2, p. 816.           "	Apollo 17 soil #75080 from Station 5.                                   
362	LS-CMP-057          	BULK	45.18	0.58	26.65	0.00	0.00	5.48	0.07	6.28	15.35	0.47	0.11	0.12	0.00	0.00	560.00	34.70	0.00	0.00	"Morris et al., 1983. Handbook of Lunar Soils, Part 2, p. 620.           "	Apollo 16 soil #68501 from Station 8.                                   
363	LS-CMP-058          	BULK	49.91	1.17	14.53	0.00	0.00	14.05	0.19	12.12	10.70	0.35	0.16	0.15	0.00	0.00	234.00	51.00	0.00	97.00	"Morris et al., 1983. Handbook of Lunar Soils, Part 1, p. 362.           "	Apollo 15 soil #15301 from Station 7.                                   
364	LS-CMP-059          	BULK	0.00	1.40	16.10	0.36	0.00	12.09	0.16	0.00	11.89	0.45	0.00	0.00	0.00	0.00	250.00	42.00	0.00	81.00	"Morris et al., 1983. Handbook of Lunar Soils, Part 1, p. 346.           "	Apollo 15 soil #15261 from Station 6.                                   
365	LS-CMP-060          	BULK	45.05	1.98	10.20	0.56	0.00	19.79	0.26	10.89	9.87	0.29	0.10	0.11	0.00	6.40	170.00	48.90	0.00	200.00	"Morris et al., 1983. Handbook of Lunar Soils, Part 1, p. 412.           "	Apollo 15 soil #15601 from Station 9a.                                  
366	LS-CMP-062          	BULK	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	"Morris et al., 1983. Handbook of Lunar Soils, Part 1, p. 84.            "	Apollo 12 soil #12024                                                   
367	LS-CMP-052          	BULK	42.31	8.95	10.30	0.21	0.00	18.57	0.26	6.28	12.15	0.53	0.06	0.08	0.00	2.00	2.00	16.60	2.00	19.00	"Lofgren and Lofgren, 1981. Catalog of Lunar Mare Basalts, p. 362.       "	Apollo 17 rock #75035                                                   
368	BA-EAC-001	BULK	50.58	3.19	13.13	0.05	1.07	10.60	0.18	6.38	10.71	3.05	0.54	0.00	0.00	0.00	600.00	400.00	200.00	0.00	"Ed Cloutis, University of Alberta"	BAS101A-D
369	OL-JMS-001          	OLV 	39.74	0.00	0.00	0.00	0.00	13.92	0.23	46.38	0.13	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	                                                                        	Ed Cloutis' OLV002                                                      
370	OL-JMS-002          	OLV 	40.97	0.00	0.00	0.00	0.00	9.59	0.09	49.64	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	                                                                        	Ed Cloutis' OLV005                                                      
371	OL-JMS-003          	OLV 	40.64	0.00	0.00	0.00	0.00	8.72	0.10	50.16	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	                                                                        	Ed Cloutis' OLV009                                                      
372	OL-JMS-004          	OLV 	40.68	0.00	0.01	0.00	0.00	9.27	0.13	49.67	0.09	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	                                                                        	Ed Cloutis' OLV013                                                      
373	OL-JMS-007          	OLV 	28.83	0.08	0.00	0.04	0.00	2.24	56.90	3.41	0.56	0.59	0.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	                                                                        	Ed Cloutis' OLV023                                                      
374	OL-JMS-008          	OLV 	39.72	0.00	0.00	0.00	0.00	13.81	0.22	46.31	0.03	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	                                                                        	Ed Cloutis' OLV025                                                      
375	OL-JMS-009          	OLV 	38.29	0.00	0.01	0.00	0.00	2.73	0.14	23.98	35.05	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	                                                                        	Ed Cloutis' OLV101                                                      
376	OL-JMS-010          	OLV 	40.84	0.00	0.00	0.00	0.00	9.09	0.13	50.12	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	                                                                        	Ed Cloutis' OLV102                                                      
377	OL-JMS-011          	OLV 	39.58	0.00	0.00	0.00	0.00	15.88	0.18	44.59	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	                                                                        	Ed Cloutis' OLV103                                                      
378	OL-JMS-012          	OLV 	30.19	0.02	0.00	0.01	0.00	46.86	20.69	1.36	0.04	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	                                                                        	Ed Cloutis' OLV105                                                      
379	OL-JMS-013          	OLV 	40.48	0.00	0.00	0.00	0.00	9.32	0.14	49.68	0.08	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	                                                                        	Ed Cloutis' OLV106                                                      
380	PP-EAC-001          	PYX 	49.70	1.48	4.12	0.17	0.77	5.93	0.11	13.80	22.94	0.57	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	                                                                        	Ed Cloutis' PYX005                                                      
381	PP-EAC-003          	PYX 	54.07	0.02	0.52	0.04	2.07	4.18	0.18	14.63	23.85	0.73	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	                                                                        	Ed Cloutis' PYX006                                                      
382	PP-EAC-004          	PYX 	44.46	3.92	8.08	0.05	2.07	6.11	0.27	10.92	22.64	0.94	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	                                                                        	Ed Cloutis' PYX007                                                      
383	PP-EAC-005          	PYX 	51.94	0.00	0.50	0.03	4.83	10.18	0.52	9.31	21.65	1.39	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	                                                                        	Ed Cloutis' PYX010                                                      
384	PP-EAC-007          	PYX 	52.12	0.00	0.50	0.08	15.89	0.40	0.55	9.13	21.58	1.42	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	                                                                        	Ed Cloutis' PYX012d                                                     
385	PP-EAC-008          	PYX 	52.48	0.01	0.56	0.04	14.55	0.50	5.17	8.05	13.14	5.91	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	                                                                        	Ed Cloutis' PYX013                                                      
386	PP-EAC-016          	PYX 	55.08	0.07	0.23	0.03	0.10	1.69	0.07	17.82	24.96	0.13	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	                                                                        	Ed Cloutis' PYX016                                                      
387	PP-EAC-009          	PYX 	50.57	1.04	4.09	0.78	1.25	4.88	0.13	16.05	20.85	0.32	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	                                                                        	Ed Cloutis' PYX017                                                      
388	PP-EAC-011          	PYX 	48.41	1.05	5.29	0.03	3.79	6.15	0.26	12.37	22.15	0.36	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	                                                                        	Ed Cloutis' PYX019                                                      
389	PP-EAC-012          	PYX 	48.35	0.00	0.54	0.02	3.81	23.25	1.17	1.25	21.66	0.18	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	                                                                        	Ed Cloutis' PYX021                                                      
390	PP-EAC-014          	PYX 	49.37	0.01	0.61	0.03	5.07	13.62	6.71	2.79	22.54	0.13	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	                                                                        	Ed Cloutis' PYX026                                                      
391	PP-EAC-015          	PYX 	51.56	0.38	3.48	0.03	1.39	4.20	0.31	14.01	24.22	0.40	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	                                                                        	Ed Cloutis' PYX029                                                      
392	PP-EAC-019          	PYX 	48.46	0.02	1.01	0.06	7.73	6.02	7.66	3.54	17.65	2.59	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	                                                                        	Ed Cloutis' PYX033                                                      
393	PP-EAC-017          	PYX 	49.80	1.55	5.63	0.12	2.03	5.21	0.12	14.58	19.86	1.06	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	                                                                        	Ed Cloutis' PYX034                                                      
394	PP-EAC-018          	PYX 	48.05	1.73	5.15	0.03	2.56	6.29	0.19	13.12	21.95	0.53	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	                                                                        	Ed Cloutis' PYX035                                                      
395	PP-EAC-079          	PYX 	53.13	0.17	2.44	1.12	0.00	4.48	0.11	17.35	21.25	0.30	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	                                                                        	Ed Cloutis' PYX037                                                      
396	PP-EAC-086          	PYX 	49.40	0.00	0.31	0.02	8.70	17.49	0.61	3.06	20.80	0.61	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	                                                                        	Ed Cloutis' PYX038                                                      
397	PP-EAC-028          	PYX 	51.45	0.05	1.16	0.02	6.47	10.26	0.67	8.47	20.03	2.14	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	                                                                        	Ed Cloutis' PYX039                                                      
398	PP-EAC-029          	PYX 	47.27	1.73	8.28	0.43	2.77	4.69	0.11	13.19	20.90	0.63	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	                                                                        	Ed Cloutis' PYX040                                                      
399	PP-EAC-031          	PYX 	45.67	0.66	10.93	0.03	2.90	1.64	0.07	12.60	25.38	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	                                                                        	Ed Cloutis' PYX041                                                      
400	PP-EAC-088          	PYX 	47.25	0.00	0.00	0.08	0.00	0.13	42.81	2.44	5.95	0.03	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	                                                                        	Ed Cloutis' PYX044                                                      
401	PP-EAC-089          	PYX 	50.63	0.67	1.49	0.14	1.44	12.99	0.38	11.52	19.99	0.16	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	                                                                        	Ed Cloutis' PYX101                                                      
402	PP-EAC-039          	PYX 	54.72	0.08	0.94	0.04	0.02	1.40	0.06	17.79	25.00	0.16	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	                                                                        	Ed Cloutis' PYX102                                                      
403	PP-EAC-041          	PYX 	54.17	0.05	0.79	0.07	2.09	4.47	0.06	14.58	22.41	1.39	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	                                                                        	Ed Cloutis' PYX105                                                      
404	PP-EAC-045          	PYX 	52.48	0.06	0.51	0.06	4.45	10.37	1.29	8.99	20.36	2.13	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	                                                                        	Ed Cloutis' PYX109                                                      
405	PP-EAC-047          	PYX 	56.65	0.03	0.03	0.05	0.44	9.19	0.04	33.92	0.30	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	                                                                        	Ed Cloutis' PYX110                                                      
406	PP-EAC-049          	PYX 	51.27	0.95	1.91	0.17	0.57	11.34	0.28	14.47	18.45	0.23	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	                                                                        	Ed Cloutis' PYX114                                                      
407	PP-EAC-051          	PYX 	65.35	0.00	28.76	0.01	0.00	0.16	0.03	0.00	0.00	0.05	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	                                                                        	Ed Cloutis' PYX116                                                      
408	PP-EAC-052          	PYX 	55.40	0.04	1.31	0.68	0.72	9.92	0.26	32.37	0.19	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	                                                                        	Ed Cloutis' PYX119                                                      
409	PP-EAC-053          	PYX 	54.83	0.04	0.57	0.02	0.68	3.05	0.35	15.84	24.20	0.69	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	                                                                        	Ed Cloutis' PYX120                                                      
410	PP-EAC-055          	PYX 	52.79	0.11	2.18	0.06	1.43	0.80	0.10	16.80	25.73	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	                                                                        	Ed Cloutis' PYX121                                                      
411	PP-EAC-057          	PYX 	48.22	0.00	0.00	0.11	0.00	0.37	27.27	1.09	20.71	0.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	                                                                        	Ed Cloutis' PYX122                                                      
412	PP-EAC-061          	PYX 	47.83	1.32	6.44	0.08	3.80	5.22	0.16	12.38	22.20	0.28	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	                                                                        	Ed Cloutis' PYX126                                                      
413	PP-EAC-063          	PYX 	50.88	0.06	21.31	0.10	0.92	7.52	0.08	0.08	13.23	4.98	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	                                                                        	Ed Cloutis' PYX127                                                      
414	PP-EAC-065          	PYX 	51.25	0.43	0.90	0.04	26.45	3.59	0.49	0.29	2.45	12.52	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	                                                                        	Ed Cloutis' PYX128                                                      
415	PP-EAC-059          	PYX 	53.42	0.00	0.23	0.02	0.00	0.04	0.00	0.00	33.11	8.90	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	                                                                        	Ed Cloutis' PYX130                                                      
416	PP-EAC-067          	PYX 	53.61	0.01	0.27	0.07	8.19	0.37	4.67	11.85	17.89	3.44	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	                                                                        	Ed Cloutis' PYX132                                                      
417	PP-EAC-071          	PYX 	55.59	0.02	1.08	0.10	0.00	0.22	0.03	17.17	24.54	0.86	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	                                                                        	Ed Cloutis' PYX134                                                      
418	PP-EAC-072          	PYX 	47.00	0.06	0.00	0.02	0.00	7.54	40.75	3.17	1.24	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	                                                                        	Ed Cloutis' PYX152                                                      
419	PP-EAC-090          	PYX 	56.30	0.18	9.03	3.41	0.00	3.31	0.06	12.87	1.00	11.62	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	                                                                        	Ed Cloutis' PYX153                                                      
420	PP-EAC-013          	PYX 	56.86	0.01	0.76	0.45	0.83	6.36	0.17	34.04	0.65	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	                                                                        	Ed Cloutis' PYX023                                                      
421	PP-EAC-087          	PYX 	56.59	0.04	0.09	0.04	0.84	8.93	0.04	33.88	0.22	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	                                                                        	Ed Cloutis' PYX042                                                      
422	PP-EAC-043          	PYX 	56.97	0.02	0.82	0.38	1.13	5.29	0.18	34.82	0.54	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	                                                                        	Ed Cloutis' PYX108                                                      
423	SC-EAC-068          	OLV 	40.36	0.00	0.00	0.02	0.00	12.00	0.26	47.76	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	                                                                        	Ed Cloutis' OLV201                                                      
424	SC-EAC-069          	PYX 	46.20	0.55	12.54	0.00	2.30	1.73	0.05	12.49	24.92	0.10	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	                                                                        	Ed Cloutis' PYX151                                                      
425	SC-EAC-070          	PYX 	43.09	0.73	14.09	0.06	4.25	0.95	0.11	11.10	25.31	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	                                                                        	Ed Cloutis' PYX131                                                      
426	PP-EAC-058          	PYX 	55.39	0.02	0.54	0.05	0.00	1.03	0.05	17.38	24.88	0.35	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	                                                                        	Ed Cloutis' PYX135                                                      
427	JB-CMP-001          	MON	57.73	0.10	18.01	0.00	5.20	0.00	0.01	2.12	0.32	1.71	0.28	0.01	13.21	0.00	0.00	0.00	0.00	0.00	                                                                        	"100% FeCl2, pH=7                                                        "
428	JB-CMP-009          	MON	56.68	0.08	18.42	0.00	7.63	0.00	0.01	2.22	0.28	1.71	0.16	0.00	12.31	0.00	0.00	0.00	0.00	0.00	                                                                        	"300% FeCl2, O2, pH=7                                                    "
429	JB-CMP-016          	MON	59.71	0.09	19.48	0.00	5.38	0.00	0.01	2.30	0.15	2.05	0.13	0.00	10.68	0.00	0.00	0.00	0.00	0.00	                                                                        	100% FeCl3                                                              
430	JB-CMP-017          	MON	58.21	0.09	18.36	0.00	6.53	0.00	0.01	2.13	0.14	2.75	0.22	0.01	11.88	0.00	0.00	0.00	0.00	0.00	                                                                        	300% FeCl3                                                              
431	JB-CMP-018          	MON	55.47	0.09	17.33	0.00	10.03	0.00	0.02	1.99	0.14	2.43	0.31	0.00	12.14	0.00	0.00	0.00	0.00	0.00	                                                                        	"600% FeCl3, There is a previous measurement also.                       "
432	JB-CMP-019          	MON	58.00	0.09	18.69	0.00	3.80	0.00	0.01	3.13	0.15	0.83	0.12	0.00	13.81	0.00	0.00	0.00	0.00	0.00	                                                                        	100% MgCl2                                                              
433	JB-CMP-035          	MON	54.06	0.08	17.62	0.00	12.19	0.00	0.02	2.13	0.21	1.36	0.09	0.01	12.31	0.00	0.00	0.00	0.00	0.00	                                                                        	"600% FeCl3, pH=5                                                        "
434	JB-CMP-036          	MON	45.71	0.07	14.98	0.00	26.08	0.00	0.02	1.79	0.08	1.34	0.07	0.01	9.83	0.00	0.00	0.00	0.00	0.00	                                                                        	"600% Fe2(SO4)3, pH=4                                                    "
435	JB-CMP-037          	MON	50.10	0.07	16.33	0.00	11.84	0.00	0.02	1.98	0.19	1.45	0.08	0.01	18.03	0.00	0.00	0.00	0.00	0.00	                                                                        	"600% FeCl3, CO2, pH=4                                                   "
436	IO-RVM-001          	IOR	7.40	0.16	4.26	0.00	34.10	0.00	1.25	1.73	22.60	0.07	0.32	0.80	25.80	0.00	0.00	0.00	0.00	0.00	British Chemical Standards No. 301/1                                    	Lincolnshire Iron Ore                                                   
437	FM-JGS-003          	BULK	57.73	0.65	16.08	0.00	7.20	0.00	0.08	4.94	4.69	3.22	2.88	0.20	0.00	0.00	0.00	0.00	0.00	0.00	XRF                                                                     	Pseudotachylyte bulk                                                    
438	FM-JGS-001          	BULK	57.43	0.88	16.62	0.00	7.18	0.00	0.00	5.91	4.43	2.76	5.49	0.00	0.00	0.00	0.00	0.00	0.00	0.00	EDS raster analyses                                                     	Pseudotachylyte matrix                                                  
439	LS-CMP-039          	BULK	45.50	1.64	17.80	0.20	0.00	8.50	0.12	12.20	10.70	0.61	0.25	0.00	0.00	0.00	213.00	22.30	0.00	0.00	"Microprobe fused bead / INAA at JSC by Graham Ryder, LPI.               "	"Sm 15.4 ppm, Sc 17.6 ppm                                                "
440	LS-CMP-029          	BULK	46.10	1.69	17.90	0.20	0.00	8.80	0.12	10.90	10.90	0.61	0.34	0.00	0.00	0.00	0.00	28.50	0.00	0.00	"Microprobe fused bead / INAA at JSC by Graham Ryder, LPI.               "	"Sm 18.5 ppm, Sc 17.7 ppm.                                               "
441	LS-CMP-018          	BULK	52.70	1.48	18.00	0.14	0.00	6.90	0.12	3.45	11.90	0.79	2.30	0.00	0.00	0.00	54.00	19.40	0.00	0.00	"Microprobe fused bead / INAA at JSC by Graham Ryder, LPI.               "	"Sm 33.0 ppm, Sc 23.1 ppm.                                               "
442	LS-CMP-028          	BULK	45.60	1.47	18.50	0.18	0.00	8.20	0.12	11.90	11.10	0.65	0.26	0.00	0.00	0.00	153.00	17.70	0.00	0.00	"Microprobe fused bead / INAA at JSC by Graham Ryder, LPI.               "	"Sm 14.8 ppm, Sc 16.0 ppm.                                               "
443	LS-CMP-077          	BULK	45.80	1.43	18.30	0.19	0.00	8.40	0.11	13.00	10.90	0.62	0.24	0.00	0.00	0.00	227.00	23.70	0.00	0.00	"Microprobe fused bead / INAA at JSC by Graham Ryder, LPI.               "	"Sm 13.2 ppm, Sc 15.0 ppm.                                               "
444	LS-CMP-079          	BULK	46.40	1.49	18.20	0.19	0.00	8.40	0.12	10.50	11.20	0.67	0.30	0.00	0.00	0.00	250.00	28.35	0.00	0.00	"Microprobe fused bead / INAA at JSC by Graham Ryder, LPI.               "	"Sm 16.6 ppm, Sc 17.4 ppm.                                               "
445	LS-CMP-035          	BULK	46.00	1.52	17.90	0.19	0.00	9.00	0.12	13.00	10.80	0.62	0.27	0.00	0.00	0.00	250.00	28.50	0.00	0.00	"Microprobe fused bead / INAA at JSC by Graham Ryder, LPI.               "	"Sm 14.4 ppm, Sc 15.7 ppm.                                               "
446	AM-JFM-001          	BULK	80.70	0.00	7.50	0.00	0.00	3.85	0.00	2.61	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	                                                                        	                                                                        
447	AM-JFM-002          	BULK	58.70	0.00	10.90	0.00	0.00	7.97	0.00	2.45	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	                                                                        	                                                                        
448	AM-JFM-003          	BULK	70.90	0.00	12.41	0.00	0.00	4.79	0.00	2.76	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	                                                                        	                                                                        
449	AM-JFM-004          	BULK	75.30	0.00	10.60	0.00	0.00	4.73	0.00	3.07	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	                                                                        	                                                                        
450	AM-JFM-005          	BULK	80.50	0.00	8.16	0.00	0.00	3.53	0.00	2.35	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	                                                                        	                                                                        
451	AM-JFM-006          	BULK	68.70	0.00	12.70	0.00	0.00	5.30	0.00	3.16	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	                                                                        	                                                                        
452	SC-EAC-074          	HERC	0.07	0.67	59.84	0.05	0.00	20.79	0.12	18.01	0.00	0.03	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Univ. of Alberta                                                        	HER101                                                                  
453	CR-EAC-011          	CHR 	0.00	0.15	10.98	57.56	0.56	14.47	0.26	13.62	0.09	0.00	0.00	0.00	0.00	0.00	0.23	0.00	0.00	0.19	Univ. of Calgary and Univ. of Alberta                                   	CHR101                                                                  
454	SC-EAC-066          	MEL 	39.09	0.06	0.00	0.07	0.00	4.17	0.20	21.72	35.74	0.03	0.00	0.02	0.00	0.00	0.02	0.00	0.00	0.00	Univ. of Calgary and Univ. of Alberta                                   	MEL101                                                                  
455	SC-EAC-067          	MEL 	38.74	0.05	13.68	0.10	0.00	1.42	0.19	5.93	37.52	2.33	0.10	0.02	0.00	0.00	0.00	0.00	0.00	0.00	Univ. of Calgary & Univ. of Alberta                                     	MEL103                                                                  
456	PV-EAC-001          	PER 	0.05	55.72	0.00	0.09	0.00	0.40	0.12	0.00	42.26	0.10	0.00	0.02	0.00	0.00	0.00	0.00	0.00	0.00	Univ. of Calgary & Univ. of Alberta                                     	PER101                                                                  
457	CR-EAC-012          	CHR 	0.13	0.84	18.75	40.98	2.97	25.27	0.35	9.11	0.08	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	Univ. of Calgary & Univ. of Alberta                                     	CHR102                                                                  
458	PO-EAC-004          	OLV 	41.09	0.01	0.00	0.03	0.00	10.01	0.17	50.81	0.06	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	                                                                        	OLV107                                                                  
459	PP-EAC-097          	PYX 	52.49	0.04	4.48	0.99	0.34	2.62	0.00	15.28	22.47	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Univ. of Alberta                                                        	PYX170                                                                  
460	PP-EAC-098          	PYX 	48.11	1.07	7.92	0.04	0.00	1.86	0.00	14.44	25.95	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Univ. of Alberta                                                        	PYX171                                                                  
461	PP-EAC-096          	PYX 	50.46	0.51	4.65	0.17	0.00	8.44	0.15	12.09	23.97	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Univ. of Alberta                                                        	PYX172                                                                  
462	PP-EAC-095          	PYX 	53.39	0.56	0.54	0.00	0.00	16.42	0.35	18.76	10.87	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Univ. of Alberta                                                        	PYX167                                                                  
463	PP-EAC-094          	PYX 	52.16	0.00	0.35	0.05	10.55	12.79	0.87	0.99	19.46	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Univ. of Calgary                                                        	PYX129                                                                  
464	PP-EAC-093          	PYX 	29.63	1.01	0.00	0.10	0.00	1.24	0.62	0.04	26.52	6.22	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Univ. of Calgary                                                        	PYX124                                                                  
465	CC-JFM-018          	BULK	34.50	3.00	18.50	0.00	12.40	0.00	0.20	2.70	4.90	1.90	0.50	0.70	21.80	0.00	0.00	0.00	0.00	0.00	Carlton Allen at JSC                                                    	JSC Mars-1                                                              
466	CC-JFM-018          	BULK	43.50	3.80	23.30	0.00	15.60	0.00	0.30	3.40	6.20	2.40	0.60	0.90	0.00	0.00	0.00	0.00	0.00	0.00	Carlton Allen at JSC                                                    	JSC Mars-1                                                              
467	LS-CMP-088          	BULK	46.50	2.90	15.20	0.26	0.00	14.10	0.20	9.40	10.70	0.59	0.36	0.00	0.00	0.00	0.00	0.00	0.00	0.00	"Frondel et al., 1971 (<37um)                                            "	Ropy brown glass (possibly from Copernicus impact)                      
468	LS-CMP-093          	BULK	48.20	2.33	15.10	0.37	0.00	12.90	0.18	8.43	10.60	0.87	0.54	0.55	0.00	0.00	0.00	0.00	0.00	0.00	"Cuttitta et al., 1971                                                   "	Ropy brown glass (possibly from Copernicus impact)                      
469	LS-CMP-097          	BSLT	47.80	0.63	23.60	0.15	0.00	5.40	0.07	8.50	13.50	0.43	0.22	0.00	0.00	0.00	0.00	0.00	3.00	0.00	"Haskin et al., 1973                                                     "	Glass-coated basaltic impact melt (possibly from South Ray Crater format
470	LS-CMP-097          	GLS 	44.10	0.42	25.10	0.15	0.00	6.10	0.07	8.00	14.50	0.36	0.08	0.00	0.00	0.00	0.00	0.00	2.40	0.00	"Haskin et al., 1973                                                     "	Glass-coated basaltic impact (possibly from South Ray Crater formation) 
471	LS-CMP-097          	PMLT	48.60	0.67	17.50	0.25	0.00	6.50	0.07	14.00	11.30	0.84	0.26	0.00	0.00	0.00	0.00	0.00	0.00	0.00	"Haskin et al., 1973                                                     "	Glass-coated basaltic impact melt (possibly from South Ray Crater format
472	MT-JFM-005          	BULK	0.00	0.92	9.70	0.05	0.00	21.50	0.52	5.11	10.32	1.86	0.00	1.08	0.00	0.00	0.00	0.00	0.00	0.00	                                                                        	                                                                        
473	MM-MJR-002          	GLS 	50.01	1.61	8.96	0.00	0.00	20.47	0.53	5.16	9.92	1.85	0.35	0.48	0.00	0.00	0.00	0.00	0.00	0.00	                                                                        	MST-1 glass composition                                                 
474	MM-MJR-002          	PIG 	53.25	0.20	0.67	0.00	0.00	18.20	0.66	22.57	4.21	0.06	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	                                                                        	MST-1 pigeonite composition                                             
475	MM-MJR-031          	GLS	51.35	0.99	8.33	0.00	0.00	18.05	0.49	7.27	10.16	1.71	0.46	0.62	0.00	0.00	0.00	0.00	0.00	0.00	                                                                        	Glass component of MST-25                                               
476	MM-MJR-047          	BULK	57.70	0.60	11.50	0.00	0.00	16.60	0.34	1.80	6.90	2.50	1.17	0.54	0.00	0.00	0.00	0.00	0.00	0.00	Brown Univ.                                                             	"SFA3-1 (047), SFA3-2 (048), SFA3-3 (049)                                "
477	MT-MJR-045          	BULK	62.00	0.70	10.60	0.00	0.00	12.00	0.40	2.00	0.00	2.60	0.70	0.50	0.00	0.00	0.00	0.00	0.00	0.00	Brown Univ.                                                             	"SFA2-14 (MT-MJR-045), SFA2-22 (MT-MJR-046)                              "
