Sample ID	Text	Unit	Mineral #1	%	Chem. #	Mineral #2	%	Chem. #	Mineral #3	%	Chem. #	Mineral #4	%	Chem. #	Mineral #5	%	Chem. #	Mineral #6	%	Chem. #	Mineral #7	%	Chem. #	Mineral #8	%	Chem. #	Mineral #9	%	Chem. #	Mineral #10	%	Chem. #
HO-EAC-005          	OOH005	Wt	   	90.00 	0	PAL	10.00 	0	   	0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0
JA-CMP-001          	JA #2368 HYP		   	100.00 	0	   	0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0
JA-CMP-002-A        	JA #79634 		   	100.00 	0	   	0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0
JA-CMP-003          	HYP JA #106006		   	100.00 	0	   	0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0
JB-JLB-431          	Altered Ferrihydrite		FHD	95.00 	0	ALA	5.00 	0	   	0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0
JE-JEE-001	Lunar soil simulant 1	Wt	GLS	15.41 	757	OLV	6.35 	758	PLG	63.24 	759	ALB	0.53 	0	QTZ	0.94 	0	CHL	2.38 	0	CPX	3.24 	760	OPX	5.94 	761	PHO	0.49 	0	MAG	0.41 	0
JE-JEE-002	Lunar soil simulant 2	Wt	GLS	15.41 	757	OLV	6.35 	758	PLG	63.24 	759	ALB	0.53 	0	QTZ	0.94 	0	CHL	2.38 	0	CPX	3.24 	760	OPX	5.94 	761	PHO	0.49 	0	MAG	0.41 	0
JE-JEE-003	Lunar soil simulant 3	Wt	GLS	15.41 	757	OLV	6.35 	758	PLG	63.24 	759	ALB	0.53 	0	QTZ	0.94 	0	CHL	2.38 	0	CPX	3.24 	760	OPX	5.94 	761	PHO	0.49 	0	MAG	0.41 	0
JE-JEE-004	Lunar soil simulant 4	Wt	GLS	15.41 	757	OLV	6.35 	758	PLG	63.24 	759	ALB	0.53 	0	QTZ	0.94 	0	CHL	2.38 	0	CPX	3.24 	760	OPX	5.94 	761	PHO	0.49 	0	MAG	0.41 	0
JE-JEE-005	Lunar soil simulant 5	Wt	GLS	15.41 	757	OLV	6.35 	758	PLG	63.24 	759	ALB	0.53 	0	QTZ	0.94 	0	CHL	2.38 	0	CPX	3.24 	760	OPX	5.94 	761	PHO	0.49 	0	MAG	0.41 	0
JE-JEE-006	Lunar soil simulant 6	Wt	GLS	15.41 	757	OLV	6.35 	758	PLG	63.24 	759	ALB	0.53 	0	QTZ	0.94 	0	CHL	2.38 	0	CPX	3.24 	760	OPX	5.94 	761	PHO	0.49 	0	MAG	0.41 	0
JE-JEE-007	Lunar soil simulant 7	Wt	GLS	15.41 	757	OLV	6.35 	758	PLG	63.24 	759	ALB	0.53 	0	QTZ	0.94 	0	CHL	2.38 	0	CPX	3.24 	760	OPX	5.94 	761	PHO	0.49 	0	MAG	0.41 	0
JE-JEE-008	Lunar soil simulant 8	Wt	GLS	15.41 	757	OLV	6.35 	758	PLG	63.24 	759	ALB	0.53 	0	QTZ	0.94 	0	CHL	2.38 	0	CPX	3.24 	760	OPX	5.94 	761	PHO	0.49 	0	MAG	0.41 	0
JE-JEE-009	Lunar soil simulant 9	Wt	GLS	15.41 	757	OLV	6.35 	758	PLG	63.24 	759	ALB	0.53 	0	QTZ	0.94 	0	CHL	2.38 	0	CPX	3.24 	760	OPX	5.94 	761	PHO	0.49 	0	MAG	0.41 	0
JE-JEE-010	Lunar soil simulant 10	Wt	GLS	49.30 	763	OLV	9.00 	765	PLG	37.10 	764	CHR	1.10 	0	TMG	0.40 	766	KSI	1.40 	0	SFD	1.00 	0	QTZ	0.20 	0	CHL	0.10 	0			
JE-JEE-011	Lunar soil simulant 10	Wt	GLS	49.30 	763	OLV	9.00 	765	PLG	37.10 	764	CHR	1.10 	0	TMG	0.40 	766	KSI	1.40 	0	SFD	1.00 	0	QTZ	0.20 	0	CHL	0.10 	0			
JE-JEE-012	Lunar soil simulant 10	Wt	GLS	49.30 	763	OLV	9.00 	765	PLG	37.10 	764	CHR	1.10 	0	TMG	0.40 	766	KSI	1.40 	0	SFD	1.00 	0	QTZ	0.20 	0	CHL	0.10 	0			
JE-JEE-013	Lunar soil simulant 13	Wt	GLS	15.41 	757	OLV	6.35 	758	PLG	63.24 	759	ALB	0.53 	0	QTZ	0.94 	0	CHL	2.38 	0	CPX	3.24 	760	OPX	5.94 	761	PHO	0.49 	0	MAG	0.41 	0
JE-JEE-015	Lunar soil simulant 15	Wt	LAB	60.70 	0	AUG	23.70 	0	QTZ	1.70 	0	MAG	3.00 	0	CAL	2.70 	0	OLV	6.20 	0	HEM	2.00 	0									
JE-JEE-016	Lunar soil simulant 16	Wt	PLG	45.00 	0	AUG	45.00 	0	QTZ	3.00 	0	MAG	5.00 	0	BIO	2.00 	0															
