SpectrumID	SampleID	Date	ReleaseDate	SpecCode	Start	Stop	Resolution	SourceAngle	DetectAngle	AzimuthAngle	PhaseAngle	Temperature	Atmosphere	PhotoFile	Spinning	Aperture	Scrambler	Depolarizer	User	NASA_PI_Sponsor	ResearchType	Reference			
C4AC09	AC-PCP-009	24-Jul-03	22-Jul-04	BD-VNIR	320	2550	10.0	50.0	0.0	0.0	50.0	Room	Ambient		Yes	11.0	Out	Out	PCP	PCP	"Student, Grain size and viewing geometry effects of basalt"				
C5AC09	AC-PCP-009	24-Jul-03	25-Jul-04	BD-VNIR	320	2550	10.0	60.0	0.0	0.0	60.0	Room	Ambient		Yes	11.0	Out	Out	PCP	PCP	"Student, Grain size and viewing geometry effects of basalt"				
C6AC09	AC-PCP-009	29-Jul-03	25-Jul-04	BD-VNIR	320	2550	10.0	60.0	0.0	0.0	60.0	Room	Ambient		Yes	11.0	Out	Out	PCP	PCP	"Student, Grain size and viewing geometry effects of basalt"				
C1AC10	AC-PCP-010	30-Jul-03	30-Jul-04	BD-VNIR	320	2550	10.0	30.0	0.0	0.0	30.0	Room	Ambient		Yes	11.0	Out	Out	PCP	PCP	"Student, Grain size and viewing geometry effects of basalt"				
C1AC11	AC-PCP-011	30-Jul-03	30-Jul-04	BD-VNIR	320	2550	10.0	30.0	0.0	0.0	30.0	Room	Ambient		Yes	11.0	Out	Out	PCP	PCP	"Student, Grain size and viewing geometry effects of basalt"				
C1AC12	AC-PCP-012	18-Jul-03	18-Jul-04	BD-VNIR	320	2550	10.0	30.0	0.0	0.0	30.0	Room	Ambient		Yes	11.0	Out	Out	PCP	PCP	"Student, Grain size and viewing geometry effects of basalt"				
C2AC12	AC-PCP-012	21-Jul-03	18-Jul-04	BD-VNIR	320	2550	10.0	10.0	0.0	0.0	10.0	Room	Ambient		Yes	11.0	Out	Out	PCP	PCP	"Student, Grain size and viewing geometry effects of basalt"				
C3AC12	AC-PCP-012	21-Jul-03	22-Jul-04	BD-VNIR	320	2550	10.0	40.0	0.0	0.0	40.0	Room	Ambient		Yes	11.0	Out	Out	PCP	PCP	"Student, Grain size and viewing geometry effects of basalt"				
C4AC12	AC-PCP-012	24-Jul-03	22-Jul-04	BD-VNIR	320	2550	10.0	50.0	0.0	0.0	50.0	Room	Ambient		Yes	11.0	Out	Out	PCP	PCP	"Student, Grain size and viewing geometry effects of basalt"				
C5AC12	AC-PCP-012	24-Jul-03	25-Jul-04	BD-VNIR	320	2550	10.0	60.0	0.0	0.0	60.0	Room	Ambient		Yes	11.0	Out	Out	PCP	PCP	"Student, Grain size and viewing geometry effects of basalt"				
C6AC12	AC-PCP-012	29-Jul-03	25-Jul-04	BD-VNIR	320	2550	10.0	60.0	0.0	0.0	60.0	Room	Ambient		Yes	11.0	Out	Out	PCP	PCP	"Student, Grain size and viewing geometry effects of basalt"				
C1AD04	AD-CJT-004	25-Oct-94	31-Dec-00	BD-VNIR	300	2600	5.0	30.0	0.0	0.0	30.0	Room	Ambient						CJT						
C1AD01	AD-REA-001	17-Oct-94	31-Dec-00	BD-VNIR	300	2600	5.0	43.0	0.0	0.0	43.0	Room	Ambient						REA						
N1AD01	AD-REA-001-N	18-Oct-94	31-Dec-00	BC-FTIR1	1800	25920	9.0	NA	NA	NA	NA	Room	Dry air		No		Out	Out	REA						
N2AD01	AD-REA-001-N	18-Oct-94	31-Dec-00	BC-FTIR1	1800	25920	9.0	NA	NA	NA	NA	Room	Dry air		No		Out	Out	REA						
N4AD01	AD-REA-001-N	19-Oct-94	31-Dec-00	BC-FTIR1	1800	25920	9.0	NA	NA	NA	NA	Room	Dry air		No		Out	Out	REA						
N5AD01	AD-REA-001-N	19-Oct-94	31-Dec-00	BC-FTIR1	1800	25920	9.0	NA	NA	NA	NA	Room	Dry air		No		Out	Out	REA						
C1AD02	AD-REA-002	20-Oct-94	31-Dec-00	BD-VNIR	300	2600	5.0	43.0	0.0	0.0	43.0	Room	Ambient						REA						
N1AD02	AD-REA-002-N	19-Oct-94	31-Dec-00	BC-FTIR1	1800	25920	9.0	NA	NA	NA	NA	Room	Dry air		No		Out	Out	REA						
N2AD02	AD-REA-002-N	19-Oct-94	31-Dec-00	BC-FTIR1	1800	25920	9.0	NA	NA	NA	NA	Room	Dry air		No		Out	Out	REA						
CFAD03	AD-REA-003-F	20-Oct-94	31-Dec-00	BD-VNIR	300	2600	5.0	43.0	0.0	0.0	43.0	Room	Ambient						REA						
N1AD03F	AD-REA-003-F	20-Oct-94	31-Dec-00	BC-FTIR1	1800	25920	9.0	NA	NA	NA	NA	Room	Dry air		No		Out	Out	REA						
N2AD03F	AD-REA-003-F	20-Oct-94	31-Dec-00	BC-FTIR1	1800	25920	9.0	NA	NA	NA	NA	Room	Dry air		No		Out	Out	REA						
N3AD03F	AD-REA-003-F	20-Oct-94	31-Dec-00	BC-FTIR1	1800	25920	9.0	NA	NA	NA	NA	Room	Dry air		No		Out	Out	REA						
CWAD03	AD-REA-003-W	20-Oct-94	31-Dec-00	BD-VNIR	300	2600	5.0	43.0	0.0	0.0	43.0	Room	Ambient						REA						
N1AD03W	AD-REA-003-W	20-Oct-94	31-Dec-00	BC-FTIR1	1800	25920	9.0	NA	NA	NA	NA	Room	Dry air		No		Out	Out	REA						
N2AD03W	AD-REA-003-W	20-Oct-94	31-Dec-00	BC-FTIR1	1800	25920	9.0	NA	NA	NA	NA	Room	Dry air		No		Out	Out	REA						
N3AD03W	AD-REA-003-W	20-Oct-94	31-Dec-00	BC-FTIR1	1800	25920	9.0	NA	NA	NA	NA	Room	Dry air		No		Out	Out	REA						
C1AE10	AE-CMP-010	3-Aug-88	31-Dec-00	BD-VNIR	350	2600	5.0	30.0	0.0	0.0	30.0	Room	Ambient						CMP						
C2AE10	AE-CMP-010	12-Aug-88	31-Dec-00	BD-VNIR	300	2750	5.0	30.0	0.0	0.0	30.0	Room	Ambient						CMP						
S2AE10	AE-CMP-010	12-Aug-88	31-Dec-00	BD-VNIR	300	2750	5.0	30.0	0.0	0.0	30.0	Room	Ambient						CMP						
C0AF01	AF-CMP-001	11-Jun-85	31-Dec-00	BD-VNIR	400	750	10.0	30.0	0.0	0.0	30.0	Room	Ambient						CMP						
C1AF01	AF-CMP-001	12-Jun-85	31-Dec-00	BD-VNIR	600	1800	10.0	30.0	0.0	0.0	30.0	Room	Ambient						CMP						
C2AF01	AF-CMP-001	12-Jun-85	31-Dec-00	BD-VNIR	1700	2600	10.0	30.0	0.0	0.0	30.0	Room	Ambient						CMP						
C4AF01	AF-CMP-001	14-Aug-85	31-Dec-00	BD-VNIR	350	2600	10.0	30.0	0.0	0.0	30.0	Room	Ambient						CMP						
C5AF01	AF-CMP-001	7-Sep-85	31-Dec-00	BD-VNIR	2400	2700	2.0	30.0	0.0	0.0	30.0	Room	Ambient						CMP						
CAAF01	AF-CMP-001	12-Jun-85	31-Dec-00	BD-VNIR	400	2600	10.0	30.0	0.0	0.0	30.0	Room	Ambient						CMP						
C0AF02	AF-CMP-002	11-Jun-85	31-Dec-00	BD-VNIR	400	750	10.0	30.0	0.0	0.0	30.0	Room	Ambient						CMP						
C0AF03	AF-CMP-003	11-Jun-85	31-Dec-00	BD-VNIR	400	750	10.0	30.0	0.0	0.0	30.0	Room	Ambient						CMP						
C1AF03	AF-CMP-003	12-Jun-85	31-Dec-00	BD-VNIR	600	1800	10.0	30.0	0.0	0.0	30.0	Room	Ambient						CMP						
CAAF03	AF-CMP-003	12-Jun-85	31-Dec-00	BD-VNIR	400	1800	10.0	30.0	0.0	0.0	30.0	Room	Ambient						CMP						
C0AF04	AF-CMP-004	11-Jun-85	31-Dec-00	BD-VNIR	400	750	10.0	30.0	0.0	0.0	30.0	Room	Ambient						CMP						
C1AF04	AF-CMP-004	12-Jun-85	31-Dec-00	BD-VNIR	600	1800	10.0	30.0	0.0	0.0	30.0	Room	Ambient						CMP						
CAAF04	AF-CMP-004	12-Jun-85	31-Dec-00	BD-VNIR	400	1800	10.0	30.0	0.0	0.0	30.0	Room	Ambient						CMP						
C2AF10	AF-CMP-010	1-Apr-91	31-Dec-00	BD-VNIR	300	2600	5.0	40.0	30.0	0.0	10.0	Room	Ambient						CMP						
C3AF10	AF-CMP-010	2-Apr-91	31-Dec-00	BD-VNIR	300	2600	5.0	40.0	-40.0	0.0	80.0	Room	Ambient						CMP						
C4AF10	AF-CMP-010	4-Apr-91	31-Dec-00	BD-VNIR	300	2600	5.0	30.0	0.0	0.0	30.0	Room	Ambient						CMP						
C5AF10	AF-CMP-010	4-Apr-91	31-Dec-00	BD-VNIR	300	2600	5.0	40.0	30.0	0.0	10.0	Room	Ambient						CMP						
