PI	Sub-Code	Wavelength Corrected File	Original  File	Sample ID	Date	Start	Stop	Rel	Source Angle	Detect Angle
JBA	LS	CLS298.DAT	WLS298.DAT	LS-JBA-141    	2-Jul-85	351	2515	3	NA	NA
JBA	LS	CLS334.DAT	WLS334.DAT	LS-JBA-141    	2-Jul-85	351	2515	3	NA	NA
JBA	LS	CLS269.DAT	WLS269.DAT	LS-JBA-142    	2-Jul-85	351	2515	3	NA	NA
JBA	LS	CLS320.DAT	WLS320.DAT	LS-JBA-142    	2-Jul-85	351	2515	3	NA	NA
JBA	LS	CLS446.DAT	WLS446.DAT	LS-JBA-142    	2-Jul-85	351	2515	3	NA	NA
JBA	LS	CLS282.DAT	WLS282.DAT	LS-JBA-143    	2-Jul-85	351	2515	3	NA	NA
JBA	LS	CLS321.DAT	WLS321.DAT	LS-JBA-143    	2-Jul-85	351	2515	3	NA	NA
JBA	LS	CLS301.DAT	WLS301.DAT	LS-JBA-144    	2-Jul-85	351	2515	3	NA	NA
JBA	LS	CLS342.DAT	WLS342.DAT	LS-JBA-144    	2-Jul-85	351	2515	3	NA	NA
JBA	LS	CLS116.DAT	WLS116.DAT	LS-JBA-145    	2-Jul-85	351	2515	3	NA	NA
JBA	LS	CLS175.DAT	WLS175.DAT	LS-JBA-145    	2-Jul-85	351	2515	3	NA	NA
JBA	LS	CLS221.DAT	WLS221.DAT	LS-JBA-150    	2-Jul-85	351	2515	3	NA	NA
JBA	LS	CLS026.DAT	WLS026.DAT	LS-JBA-151-M  	2-Jul-85	351	2515	3	NA	NA
JBA	LS	CLS224.DAT	WLS224.DAT	LS-JBA-151-N  	2-Jul-85	351	2515	3	NA	NA
JBA	LS	CLS393.DAT	WLS393.DAT	LS-JBA-151-P  	2-Jul-85	351	2515	3	NA	NA
JBA	LS	CLS367.DAT	WLS367.DAT	LS-JBA-152-M  	2-Jul-85	351	2515	3	NA	NA
JBA	LS	CLS366.DAT	WLS366.DAT	LS-JBA-152-N  	2-Jul-85	351	2515	3	NA	NA
JBA	LS	CLS357.DAT	WLS357.DAT	LS-JBA-152-P  	2-Jul-85	351	2515	3	NA	NA
JBA	LS	CLS362.DAT	WLS362.DAT	LS-JBA-152-P  	2-Jul-85	351	2515	3	NA	NA
JBA	LS	CLS180.DAT	WLS180.DAT	LS-JBA-153-M  	2-Jul-85	351	2515	3	NA	NA
JBA	LS	CLS181.DAT	WLS181.DAT	LS-JBA-153-N  	2-Jul-85	351	2515	3	NA	NA
JBA	LS	CLS183.DAT	WLS183.DAT	LS-JBA-153-P  	2-Jul-85	351	2515	3	NA	NA
JBA	LS	CLS368.DAT	WLS368.DAT	LS-JBA-154-N  	2-Jul-85	351	2515	3	NA	NA
JBA	LS	CLS429.DAT	WLS429.DAT	LS-JBA-154-P  	2-Jul-85	351	2515	3	NA	NA
JBA	LS	CLS289.DAT	WLS289.DAT	LS-JBA-155-M1 	2-Jul-85	351	2515	3	NA	NA
